symbol,entry_price,final_price,max_price,hit_10pct_target,total_return_pct
KAYNES,5879.0,6262.5,6322.5,False,6.52
JUBLINGREA,674.95,691.55,717.6,False,2.46
KEC,723.2,800.6,803.85,True,10.7
PREMIERENE,1009.4,1125.95,1125.95,True,11.55
POWERINDIA,13453.0,15803.0,16735.0,True,17.47
GESHIP,901.54,972.75,972.75,False,7.9
CAMPUS,245.88,258.35,258.35,False,5.07
HAPPSTMNDS,583.05,604.6,609.7,False,3.7
JSWENERGY,521.35,503.85,521.35,False,-3.36
SUZLON,60.29,61.08,61.22,False,1.31
SUPREMEIND,3514.8,3681.9,3681.9,False,4.75
GRAVITA,1974.3,2030.2,2030.2,False,2.83
HEROMOTOCO,3917.0,4345.3,4345.3,True,10.93
NAM-INDIA,633.65,727.85,727.85,True,14.87
JKTYRE,311.5,351.4,351.4,True,12.81
