symbol,date,close,rsi,macd,sma20,avg_sentiment,news_count,ma50,entry_price,exit_price,exit_reason,breakout_success,bullish_engulfing_count,return_30d,target_price,rsi_score,sentiment_score,engulfing_score,confidence
COMSYN,2025-05-16,106.86,75.0,1.33,92.63,0.2039,7,106.86,88.08,96.89,target_hit,True,3,29.4,96.888,1.0,0.0048749999999999835,1.0,0.6682916666666667
IKS,2025-05-16,1670.4,69.23,27.67,1513.11,0.3388,10,1670.4,1518.2,1670.02,target_hit,True,2,15.81,1670.0200000000002,0.8351428571428573,0.17349999999999996,0.6666666666666666,0.5584365079365079
CAMLINFINE,2025-05-16,193.43,67.2,3.66,168.86,0.329,10,193.43,183.05,201.36,target_hit,True,2,17.21,201.35500000000002,0.7771428571428572,0.16125,0.6666666666666666,0.5350198412698414
BUTTERFLY,2025-05-16,755.45,69.77,14.17,659.29,0.2579,10,755.45,700.45,770.5,target_hit,True,2,26.42,770.4950000000001,0.8505714285714284,0.07237500000000001,0.6666666666666666,0.5298710317460317
BHARATSE,2025-05-16,103.95,68.93,2.73,87.94,0.4998,10,103.95,90.39,99.43,target_hit,True,1,24.61,99.429,0.8265714285714287,0.37474999999999997,0.3333333333333333,0.5115515873015873
FORCEMOT,2025-05-16,10954.5,67.13,91.98,9759.42,0.2519,10,10954.5,9952.5,10947.75,target_hit,True,2,17.8,10947.75,0.775142857142857,0.064875,0.6666666666666666,0.5022281746031746
AZAD,2025-05-16,1819.6,73.34,18.83,1613.95,0.3271,10,1819.6,1635.9,1799.49,target_hit,True,1,23.72,1799.4900000000002,0.9525714285714286,0.158875,0.3333333333333333,0.4815932539682539
ALIVUS,2025-05-16,1142.6,58.37,8.78,1088.32,0.3628,10,1142.6,1050.8,1155.88,target_hit,True,2,12.57,1155.88,0.5248571428571428,0.2035,0.6666666666666666,0.4650079365079365
EPL,2025-05-16,234.62,73.26,4.77,205.4,0.2753,10,234.62,208.07,228.88,target_hit,True,1,17.77,228.877,0.9502857142857144,0.09412499999999997,0.3333333333333333,0.4592480158730159
APOLLO,2025-05-16,140.39,66.96,2.2,122.59,0.3497,10,140.39,124.93,137.42,target_hit,True,1,16.58,137.42300000000003,0.7702857142857141,0.18712499999999999,0.3333333333333333,0.4302480158730158
ABDL,2025-05-16,389.95,68.24,9.61,336.04,0.2863,10,389.95,352.1,387.31,target_hit,True,1,19.87,387.31000000000006,0.8068571428571427,0.10787499999999998,0.3333333333333333,0.4160218253968253
APTECHT,2025-05-16,168.58,68.32,1.18,151.42,0.26,6,168.58,153.39,168.73,target_hit,True,1,34.5,168.72899999999998,0.8091428571428569,0.075,0.3333333333333333,0.4058253968253967
COFORGE,2025-05-16,8426.0,70.21,131.89,7585.29,0.2166,10,8426.0,7373.89,8111.28,target_hit,True,1,21.75,8111.279000000001,0.863142857142857,0.02074999999999997,0.3333333333333333,0.40574206349206343
